Año;Localidades;Proyecto;Categoria;Votos;Presupuesto;Ganador_bin
2017;Villa Martelli;BOMBEROS VOLUNTARIOS DE VICENTE LÓPEZ - 25 equipos de estructurales para intervenir en incendios;Seguridad;959;978500;1
2017;Villa Martelli;CAMPAÑA DE CONCIENTIZACIÓN SOBRE EL BULLYING - Talleres teatrales en escuelas del barrio;Cultura;506;193892;1
2017;Villa Martelli;FUNDACION CAMINO - Remodelación interior y fachada;Reparaciones/Obra;487;1500000;1
2017;Villa Martelli;ESCUELA SECUNDARIA Nº 2 (provincial) - Reparación de cubierta, mobiliario y equipamiento;Educación;482;1200000;1
2017;Villa Martelli;BIBLIOTECA FROILÁN GONZÁLEZ - Compra de mobiliario y luces de lectura;Cultura;446;132000;1
2017;Villa Martelli;CÁMARAS DE VIGILANCIA URBANA - Conectadas al Centro de Monitoreo Municipal;Seguridad;393;1130000;1
2017;Villa Martelli;ZOONOSIS - Analizador clínico y analizador hematológico;Salud;373;413270;1
2017;Villa Martelli;JARDIN DE INFANTES Nº 918 (provincial) - Mobiliario para biblioteca, aires acondicionados y equipo de audio;Cultura;325;209000;1
2017;Villa Martelli;JARDÍN MATERNAL MUNICIPAL Nº 1 - Superficie cubierta con techo traslúcido y equipamiento tecnológico;Salud;280;260000;1
2017;Villa Martelli;ESCUELA PRIMARIA Nº 20 (provincial) - Piso antigolpes en el patio;Educación;220;120000;1
2017;Villa Martelli;ESCUELA PRIMARIA Nº 7 (provincial) - Equipamiento para cocina y provisión de computadora;Educación;191;346000;1
2017;Villa Martelli;CTRO. DE LA TERCERA EDAD UNIDOS EN ARMONÍA - Instalación de una reja y cambio de una puerta;Reparaciones/Obra;177;180000;1
2017;Villa Martelli;SEMÁFORO - Zufriategui y Chile;Movilidad;146;208300;1
2017;Villa Martelli;MÁS ÁRBOLES - En espacios públicos del barrio;Medio Ambiente;115;200000;1
2017;Villa Martelli;ASOCIACIÓN DE ARTISTAS PLÁSTICOS - Pintura interior y compra de una computadora;Reparaciones/Obra;89;120000;1
2017;Villa Martelli;ARTE EN LA ESCUELA - Talleres artísticos en escuelas del barrio;Cultura;84;280000;0
2017;Villa Martelli;SEÑALIZACIÓN EN VARIAS ESQUINAS - Paso peatonal de escolares;Movilidad;81;480000;0
2017;Villa Martelli;ALIMENTACIÓN SALUDABLE - Talleres en escuelas del barrio;Salud;72;280000;0
2017;Villa Martelli;REDUCIDORES DE VELOCIDAD - México desde Echeverria hasta Constituyentes;Movilidad;67;135000;0
2017;Villa Martelli;CUIDEMOS EL AGUA - Talleres teatrales en escuelas del barrio;Cultura;55;280000;0
2017;Florida Oeste;ESC. DE EDUCACIÓN TÉCNICA Nº 4 (provincial) - Refacción en cocina-comedor;Educación;984;1900000;1
2017;Florida Oeste;ESC SECUNDARIA BÁSICA Nº 8 - INST DE FORMACIÓN DOCENTE Nº 77 (provinciales)- Equipamiento para aulas y para el laboratorio de ciencias;Educación;962;1500000;0
2017;Florida Oeste;JARDÍN DE INFANTES Nº 912 (provincial) - Reparaciones varias, mobiliario y equipamiento;Educación;920;1100000;1
2017;Florida Oeste;"ESC. PRIMARIA ""MANUEL DORREGO"" - Construcción de 2 aulas y dependencias en la azotea ";Educación;800;2300000;1
2017;Florida Oeste;BIBLIOTECA POPULAR NORA BOMBELLI - Equipos de aire acondicionado y reparación de la cubierta;Cultura;768;399125;1
2017;Florida Oeste;JARDÍN MATERNAL MUNICIPAL Nº 8 - Obras varias;Salud;569;965000;1
2017;Florida Oeste;CÁMARAS DE VIGILANCIA - Conectadas al Centro de Monitoreo Municipal (opción 1);Seguridad;553;2182000;0
2017;Florida Oeste;JARDÍN DE INFANTES Nº 905 (provincial)- Reparaciones en general ;Educación;256;305000;0
2017;Florida Oeste;ESCUELA PRIMARIA Nº 5 (provincial) - Equipamiento para la videoteca y las aulas;Educación;250;494000;0
