año;barrio;proyecto;categoria;votos;presupuesto;ganador_bin
2017;Villa Martelli;BOMBEROS VOLUNTARIOS DE VICENTE LÓPEZ - 25 equipos de estructurales para intervenir en incendios;Otros/Varios;959.0;978500.0;1
2017;Villa Martelli;CAMPAÑA DE CONCIENTIZACIÓN SOBRE EL BULLYING - Talleres teatrales en escuelas del barrio;Educación;506.0;193892.0;1
2017;Villa Martelli;FUNDACION CAMINO - Remodelación interior y fachada;Otros/Varios;487.0;1500000.0;1
2017;Villa Martelli;ESCUELA SECUNDARIA Nº 2 (provincial) - Reparación de cubierta, mobiliario y equipamiento;Educación;482.0;1200000.0;1
2017;Villa Martelli;BIBLIOTECA FROILÁN GONZÁLEZ - Compra de mobiliario y luces de lectura;Educación;446.0;132000.0;1
2017;Villa Martelli;CÁMARAS DE VIGILANCIA URBANA - Conectadas al Centro de Monitoreo Municipal;Seguridad;393.0;1130000.0;1
2017;Villa Martelli;ZOONOSIS - Analizador clínico y analizador hematológico;Otros/Varios;373.0;413270.0;1
2017;Villa Martelli;JARDIN DE INFANTES Nº 918 (provincial) - Mobiliario para biblioteca, aires acondicionados y equipo de audio;Educación;325.0;209000.0;1
2017;Villa Martelli;JARDÍN MATERNAL MUNICIPAL Nº 1 - Superficie cubierta con techo traslúcido y equipamiento tecnológico;Educación;280.0;260000.0;1
2017;Villa Martelli;ESCUELA PRIMARIA Nº 20 (provincial) - Piso antigolpes en el patio;Educación;220.0;120000.0;1
2017;Villa Martelli;ESCUELA PRIMARIA Nº 7 (provincial) - Equipamiento para cocina y provisión de computadora;Educación;191.0;346000.0;1
2017;Villa Martelli;CTRO. DE LA TERCERA EDAD UNIDOS EN ARMONÍA - Instalación de una reja y cambio de una puerta;Otros/Varios;177.0;180000.0;1
2017;Villa Martelli;SEMÁFORO - Zufriategui y Chile;Espacio Público;146.0;208300.0;1
2017;Villa Martelli;MÁS ÁRBOLES - En espacios públicos del barrio;Otros/Varios;115.0;200000.0;1
2017;Villa Martelli;ASOCIACIÓN DE ARTISTAS PLÁSTICOS - Pintura interior y compra de una computadora;Educación;89.0;120000.0;1
2017;Villa Martelli;ARTE EN LA ESCUELA - Talleres artísticos en escuelas del barrio;Educación;84.0;280000.0;0
2017;Villa Martelli;SEÑALIZACIÓN EN VARIAS ESQUINAS - Paso peatonal de escolares;Espacio Público;81.0;480000.0;0
2017;Villa Martelli;ALIMENTACIÓN SALUDABLE - Talleres en escuelas del barrio;Educación;72.0;280000.0;0
2017;Villa Martelli;REDUCIDORES DE VELOCIDAD - México desde Echeverria hasta Constituyentes;Otros/Varios;67.0;135000.0;0
2017;Villa Martelli;CUIDEMOS EL AGUA - Talleres teatrales en escuelas del barrio;Educación;55.0;280000.0;0
2017;Florida Oeste;ESC. DE EDUCACIÓN TÉCNICA Nº 4 (provincial) - Refacción en cocina-comedor;Educación;984.0;1900000.0;1
2017;Florida Oeste;ESC SECUNDARIA BÁSICA Nº 8 - INST DE FORMACIÓN DOCENTE Nº 77 (provinciales)- Equipamiento para aulas y para el laboratorio de ciencias;Educación;962.0;1500000.0;0
2017;Florida Oeste;JARDÍN DE INFANTES Nº 912 (provincial) - Reparaciones varias, mobiliario y equipamiento;Educación;920.0;1100000.0;1
2017;Florida Oeste;"ESC. PRIMARIA ""MANUEL DORREGO"" - Construcción de 2 aulas y dependencias en la azotea ";Educación;800.0;2300000.0;1
2017;Florida Oeste;BIBLIOTECA POPULAR NORA BOMBELLI - Equipos de aire acondicionado y reparación de la cubierta;Educación;768.0;399125.0;1
2017;Florida Oeste;JARDÍN MATERNAL MUNICIPAL Nº 8 - Obras varias;Educación;569.0;965000.0;1
2017;Florida Oeste;CÁMARAS DE VIGILANCIA - Conectadas al Centro de Monitoreo Municipal (opción 1);Seguridad;553.0;2182000.0;0
2017;Florida Oeste;JARDÍN DE INFANTES Nº 905 (provincial)- Reparaciones en general ;Educación;256.0;305000.0;0
2017;Florida Oeste;ESCUELA PRIMARIA Nº 5 (provincial) - Equipamiento para la videoteca y las aulas;Educación;250.0;494000.0;0
2017;Florida Oeste;BIBLIOTECA SOCIAL MARIANO MORENO (Soc. Fom Florida Sud) - Reparación de cubierta y de un baño;Educación;225.0;266000.0;1
2017;Florida Oeste;SEMÁFORO Y SEÑALIZACIÓN - Desde Güemes y Posadas hasta Roca y Posadas (sendero escolar);Espacio Público;206.0;597500.0;0
2017;Florida Oeste;ACER - Red CONIN - Rehabilitar y acondicionar un baño y construir una galería techada;Otros/Varios;197.0;440000.0;0
2017;Florida Oeste;JARDÍN MATERNAL MUNICIPAL Nº 5 - Ampliar el SUM y construir un espacio para la Dirección;Educación;196.0;890000.0;0
